name,viewing_date,review,rating,tags,rewatch
Shin Godzilla,2024-05-22,,0,[],True
I Will Buy You,2024-05-17,,0,[],False
The Thick-Walled Room,2024-05-16,,0,[],False
All Monsters Attack,2024-05-15,,0,[],False
Destroy All Monsters,2024-05-13,,0,[],False
My Neighbor Totoro,2024-05-13,,0,[],True
Spirited Away,2024-05-12,,0,[],True
Monty Python and the Holy Grail,2024-05-09,,0,[],False
2001: A Space Odyssey,2024-05-07,,0,['film 300'],False
Son of Godzilla,2024-05-03,,0,[],False
"Ebirah, Horror of the Deep",2024-04-29,,0,[],False
Stalker,2024-04-28,,0,['film 300'],False
Alien,2024-04-26,,0,['in theaters'],True
Invasion of Astro-Monster,2024-04-20,,0,[],False
Rashomon,2024-04-16,,0,['film 300'],True
"Ghidorah, the Three-Headed Monster",2024-04-11,,0,[],False
The Inheritance,2024-04-11,,0,[],False
The Bread and Alley,2024-04-10,,0,['film 300'],False
Two,2024-04-10,,0,['film 300'],False
Aparajito,2024-04-04,,0,['film 300'],False
Ran,2024-03-26,,0,[],True
Mothra vs. Godzilla,2024-03-18,,0,[],False
Moolaadé,2024-03-17,,0,['film 300'],False
Howl's Moving Castle,2024-03-16,,0,[],True
Psycho,2024-03-13,,0,['film 300'],True
Dune: Part Two,2024-03-09,,0,['in theaters'],False
Au Hasard Balthazar,2024-03-07,,0,['film 300'],False
Perfect Days,2024-03-06,,0,['in theaters'],False
King Kong vs. Godzilla,2024-03-04,,0,[],False
Dune,2024-03-01,,0,[],False
La Strada,2024-02-27,,0,['film 300'],False
Godzilla Raids Again,2024-02-26,,0,[],False
Cléo from 5 to 7,2024-02-21,,0,['film 300'],False
The 400 Blows,2024-02-15,,0,['film 300'],False
A Silent Voice,2024-02-09,,0,['drunk watch'],True
Kung Fu Panda,2024-02-03,,0,[],True
April Story,2024-02-02,,0,[],False
Le Samouraï,2024-01-26,,0,[],False
Happy Hour,2024-01-15,,0,[],False
The Makioka Sisters,2024-01-14,,0,[],False
Ballad of Orin,2024-01-14,,0,[],False
Japanese Girls at the Harbor,2024-01-13,,0,[],False
The Housemaid,2024-01-13,,0,[],False
Cure,2024-01-13,,0,[],False
Taipei Story,2024-01-13,,0,[],False
Winter Light,2024-01-12,,0,[],False
Ikiru,2024-01-09,,0,[],False
The Boy and the Heron,2024-01-06,,0,['in theaters'],False
Oldboy,2024-01-05,,0,[],False
Jujutsu Kaisen 0,2024-01-03,,0,[],False
Floating Weeds,2024-01-01,,0,[],True
Castle in the Sky,2023-12-31,,0,[],True
Okja,2023-12-31,,0,[],False
Late Autumn,2023-12-29,,0,[],False
The Human Condition III: A Soldier's Prayer,2023-12-28,,0,[],False
The Human Condition II: Road to Eternity,2023-12-28,,0,[],False
The Human Condition I: No Greater Love,2023-12-28,,0,[],False
El Camino Christmas,2023-12-27,,0,[],False
5 Centimeters per Second,2023-12-26,,0,['drunk watch'],True
In the Mood for Love,2023-12-26,,0,['drunk watch'],False
Snowpiercer,2023-12-24,,0,[],False
The End of Summer,2023-12-24,,0,[],False
Gamera: Guardian of the Universe,2023-12-23,,0,[],False
Late Spring,2023-12-02,,0,[],False
Godzilla Minus One,2023-12-01,,0,['in theaters'],False
An Autumn Afternoon,2023-11-29,,0,[],True
Shin Godzilla,2023-11-27,,0,[],False
Seven Samurai,2023-11-22,,0,[],True
The Killer,2023-11-21,,0,[],False
Voices of a Distant Star,2023-11-20,,0,[],True
Double Indemnity,2023-11-19,,0,[],True
Spirited Away,2023-11-19,,0,[],True
Killers of the Flower Moon,2023-11-18,,0,['in theaters'],False
Weathering with You,2023-11-18,,0,[],True
Godzilla,2023-11-16,,0,[],False
Bicycle Thieves,2023-11-15,,0,[],False
All Quiet on the Western Front,2023-11-15,,0,[],False
Shoeshine,2023-11-12,,0,['Film Foundation Restoration Screening'],False
Memories of Murder,2023-11-11,,0,[],True
Flavors of Youth,2023-11-07,,0,[],True
Ugetsu,2023-11-07,,0,[],False
Mishima: A Life in Four Chapters,2023-11-06,,0,[],False
Osaka Elegy,2023-11-05,,0,[],False
Ran,2023-11-05,,0,[],False
Fargo,2023-11-04,,0,[],False
High and Low,2023-11-04,,0,[],False
My Neighbor Totoro,2023-11-03,,0,[],True
Spirited Away,2023-11-01,,0,['in theaters'],True
Westfront 1918,2023-10-31,,0,[],False
A Story of Floating Weeds,2023-10-29,,0,[],False
5 Centimeters per Second,2023-10-27,,0,['drunk watch'],True
An Autumn Afternoon,2023-10-24,,0,[],True
Raging Bull,2023-10-21,,0,[],False
The Blue Sky Maiden,2023-10-21,,0,[],False
Fantastic Mr. Fox,2023-10-20,,0,[],False
"Rome, Open City",2023-10-15,,0,[],False
Floating Weeds,2023-10-14,,0,[],False
Wild Strawberries,2023-10-13,,0,[],False
Shrek,2023-10-10,,0,[],True
Humanity and Paper Balloons,2023-10-09,,0,[],False
LEGO: The Adventures of Clutch Powers,2023-10-08,,0,[],False
The Seventh Seal,2023-10-07,,0,[],False
An Autumn Afternoon,2023-10-06,,0,[],True
